id;organisation_id;code;designation;reference;validity;remarque
229;3;CPIGN0050;PIGNON SYNCHRONE PVLH BLOC PAPILLON;843219;1;
230;3;CCELL0151;DETECTEUR INDUCTIF PORTEE 4 MM WENGLOR GENOUILLIERE PVLH HANDTMANN;I12H038/843235;1;
231;3;CCABL0027;CORDON DROIT M12 4 FILS 5M LUMBERG-ETA GENOUILLIERE PVLH HANDTMANN;RKT42255M/11356-RKT 4-AA343;1;
232;3;CCELL0150;DETECTEUR INDUCTIF COMMUTATION AUGMENTEE WENGLOR GENOUILLIERE PVLH HANDTMANN;I12H005;1;
233;3;CJOIN0116;JOINT ETANCHEITE RACK ELECTRONIQUE POUSSOIR VF200 VF300;839213  REMPLACE 838338;1;
234;3;CRESS0135;RESSORT PEDALE CHARGEUR POUSSOIR HANDTMANN VF200 VF300;823251;1;
235;3;CCLAP0009;CLAPET ANTI RETOUR 3/4 LAITON L58MM SYSTEME NETTOYAGE MAURER;167483;1;
236;3;CECRO0020;ECROU PRISONNIER M6 INOX CAPOT HANDTMANN PVLH;841057;1;
237;3;CJOIN0202;JOINT TUNNEL PVLH226 N°2 DIAM16 MM PETIT HANDTMANN;9033554/894126 ;1;
238;3;CCELL0013;CELLULE PSEN MA1.3B-23 POLYCLIP PDCA 600;207142 SARMABO;1;
239;3;CCABL0031;CABLE RESOLVER HANDTMANN FICHE RONDE 12 PINS / SUB 9 PINS;890164;1;
240;3;CJOIN0203;JOINT TUNNEL PVLH226 N°1 DIAM26 MM HANDTMANN;9033540/894102;1;
241;3;CACCO0023;ACCOUPLEMENT MOTEUR PAPILLONS PVLH226 HANDTMANN;9003529;1;
242;3;CPAPI0001;PAPILLON A1 SEPARATEUR SAUCISSE PVLH;891441 HANDTMANN;1;
243;3;CPAPI0002;PAPILLON A2 SEPARATEUR SAUCISSE PVLH;891442 HANDTMANN;1;
244;3;CPIGN0054;PIGNON ROUE DENTEE HANDTMANN;848363;1;
245;3;CCELL0075;CELLULE POSITION COUTEAU TREIF  PUMA CE1100EB/PHOENIX120CE;32997 PUMA/PHOENIX;1;
246;3;CCOUR0075;COURROIE AVANCE PINCE PUMA;56991/EFRAPO T10 LONG;1;
247;3;CCOUR0037;COURROIE TRANSPORT NOIR KNECHT;3000X50/416A-11-0578;1;
248;3;CCAPT0021;CAPTEUR STEUTE ES95SB 1O/1S 10 MM MACHINE GENDARME;1053404;1;
249;3;CCOUR0001;COURROIE TRANSPORT NOIRE ;AA352;1;
250;3;CCOUR0015;COURROIE AVEC TAQUETS KNECHT PORTIONIERBAND T10 1080X32;AB222;1;
251;3;CGALE0036;GALET TRANSP COURROIE KNECHT;GEGENRAD OBEN;1;
252;3;CPOTE0003;POTENTIOMETRE 220Kohm VS90.;127024;1;
253;3;CVACU0001;VACUOSTAT CLOCHE VS90.;73002A/5055605;1;
254;3;CJOIN0088;JOINT PISTON VIDE VS90.;Y6526145;1;
255;3;CMEMB0003;MEMBRANE DE SOUD. VS90.;Y2523320;1;
256;3;CRELA0010;RELAIS TEMPORISE 6 sec.VS90.;48637R/0148072;1;
257;3;CROUE0007;ROUE RESIS.SOUDURE BAS VS90.;Y3024328;1;
258;3;CBAGU0009;BAGUE POLYAM.POUR ROUE VS90.;Y3024329;1;
259;3;CROND0038;RONDELLES ISOLANTE SOUD.VS90;Y30224309;1;
260;3;CRESS0087;RESSORT COUTEAU VS90.;3019464;1;
261;3;CJOIN0022;JOINT LEVRE 8*16*6 EAU VS90.;94223R/6518422;1;
262;3;CRESS0047;DECOLLEUR SAC BARRE SOUD.VS90.;87268G/3021752 Y3021752;1;
263;3;CPIPE0001;PIPE CIRCULATION D'EAU VS90.;29858E/3023610;1;
264;3;CJOIN0040;JOINT DILAG VANNE VIDE VS90.;81237B/6522028;1;
265;3;CJOIN0090;JOINT LEVRE MEMBRANE SOUD. V90;6518423;1;
266;3;CVIS.0016;VIS GUIDAGE DECOLEUR SAC VS90.;411687;1;
267;3;CGOUP0002;GOUPILLES DECOLEUR SAC VS90.;39031A/3022070 Y3022070;1;
268;3;CRESI0009;RESISTANCE CUVE ST77;13150;1;
269;3;CCAPO0001;CAPOT CONNECTEUR 6 PLOTS;1788100000 HDC;1;
270;3;CCAPO0003;CAPOT PRISE PALAN A 2 ERGOTS;EPIC H-A 10 TG16 10446100/47559018;1;
271;3;CCONN0004;CONNECTEUR RECTANGULAIRE A VISSER 6 PLOTS EPIC;HDCHE6FS\120020000FEMELLE;1;
272;3;CCONN0014;CONNECTEUR A VISSER 10 P MALE;1203900000 10 PLOTS MALE;1;
273;3;CCONN0015;CONNECTEUR A VISSER 10 P FEM;10193000 10 PLOTS FEMELLE;1;
274;3;CEMBA0007;EMBASE HDC CLIPPEUSE POUSSOIR;1202500000 HDC 6P;1;
275;3;CINTE0012;INTERRUPTEUR TRANCHEUR WEBER;TE VO + VZ11 + KCF1PZ;1;
276;3;CROTU0005;ROTULE VERIN TABLE WEBER.;773165  GAUCHE;1;
277;3;CROUL0089;ROULEAU MOT.BALANCE WEBER.;7150166;1;
278;3;CCELL0025;DETECTEUR CLAPET EJECTION WEBER;270907 >>FESTO 151668;1;
279;3;CCOUR0048;COURROIE TETE COUTEAU WEBER.;1804401 WEBER;1;
280;3;CCOUR0049;COURROIE SYNCHRONE NEOPRENE TETE COUTEAU WEBER;180402;1;
281;3;CCOUR0057;COURROIE CONVOYEUR WEBER;79633305071;1;
282;3;CCOUR0045;COURROIE BLANCHE PLATE WEBER;180413     S4.5M252  LARG 15mm;1;
